D_prof,E_act,D_surf,Drain
-79.95933375222,0.004268832639889197,-20.0,0.0
-79.9631970457591,0.0038632935390996437,-20.0,0.0
-79.96669332641198,0.0034962806528850976,-20.0,0.0
-79.96985746040285,0.0031641339908610178,-20.0,0.0
-53.66985746040285,2.0,0.0,0.0
-57.06985746040285,3.4,-3.4,0.0
-62.769857460402854,5.7,-9.1,0.0
-68.16985746040285,5.4,-14.5,0.0
-73.26985746040285,5.1,-19.6,0.0
-73.90922100166458,0.63936354126173,-20.0,0.0
-74.48784500650645,0.5786240048418652,-20.0,0.0
-75.01149973088833,0.5236547243818874,-20.0,0.0
-65.91149973088832,3.1,-10.9,0.0
-63.91149973088832,1.6,-8.9,0.0
-68.31149973088833,4.4,-13.3,0.0
-72.81149973088833,4.5,-17.8,0.0
-75.01149973088833,2.1999999999999993,-20.0,0.0
-73.51149973088833,3.3,-18.5,0.0
-75.01149973088833,1.5,-20.0,0.0
-75.01149973088833,4.4,-20.0,0.0
-74.91149973088832,2.1,-19.900000000000002,0.0
-75.39490725645393,0.4834075255656085,-20.0,0.0
-75.83239106709081,0.43748381063687614,-20.0,0.0
-76.22831391571718,0.3959228486263724,-20.0,0.0
-76.58662409372405,0.35831017800686826,-20.0,0.0
-76.91089480482027,0.3242707110962142,-20.0,0.0
-77.20435979836235,0.29346499354207367,-20.0,0.0
-77.46994561751792,0.2655858191555769,-20.0,0.0
-77.71030078385373,0.2403551663357968,-20.0,0.0
-77.92782220938761,0.21752142553389575,-20.0,0.0
-78.1246790994958,0.19685689010817686,-20.0,0.0
-78.3028345850437,0.17815548554789906,-20.0,0.0
-78.46406529946455,0.16123071442084846,-20.0,0.0
-78.60997909601542,0.1459137965508681,-20.0,0.0
-71.30997909601543,3.4,-12.700000000000001,0.0
-70.60997909601542,1.7,-12.0,0.0
-72.50997909601543,1.9,-13.9,0.0
-74.80997909601543,2.3,-16.2,0.0
-77.50997909601543,2.7,-18.9,0.0
-78.60997909601542,1.1000000000000014,-20.0,0.0
-78.74203108189396,0.13205198587853495,-20.0,0.0
-78.86153812911402,0.11950704722007366,-20.0,0.0
